Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Weighted Score,Composite Index,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
El Salvador,0.5807924343714334,0.755,0.5462912621359219,0.918,0.62,0.6615105458454105,0.6965043935647548,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692
Hungary,0.7976520463068645,0.943,0.6201941747572812,0.758,0.839,0.7805441575813796,0.7656985007242597,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128
Argentina,0.7226479699983693,0.891,0.6085436893203884,0.823,0.814,0.7519803133296079,0.7576730918844097,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451
Honduras,0.5067666721017446,0.766,0.4867184466019414,0.843,0.843,0.6376596132810087,0.6566187796919011,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027
Uzbekistan,0.5578020544594816,0.875,0.5347961165048543,0.938,0.638,0.6805396454640581,0.7466207106593299,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837
Malaysia,0.7568889613565956,0.799,0.5488155339805827,0.877,0.758,0.7314205719021244,0.7317420032525856,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075
Portugal,0.7992825697048752,0.878,0.7658252427184462,0.902,0.878,0.829941081591074,0.8417250126738006,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719
South Korea,0.8423283874123592,0.812,0.8590291262135921,0.717,0.701,0.8075057977771058,0.7545082755978905,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557
Greece,0.7762921897929235,0.835,0.7619417475728154,0.568,0.793,0.7548730938310809,0.6709099626255114,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0
Mauritius,0.7223218653187674,0.888,0.4784466019417475,0.813,0.775,0.7133582100810671,0.7172155909767889,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744
Thailand,0.6887330833197455,0.874,0.6570873786407767,0.85,0.91,0.7641917696561178,0.7758870749062186,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763
Mongolia,0.6269362465351377,0.933,0.3483495145631066,0.701,0.849,0.6518182526013179,0.6442862574221966,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323
